No,Organization,Campaign,SMARTIE_1,SMARTIE_2,SMARTIE_3,SMARTIE_4,SMARTIE_5,Leaders,Reach,Conversation,Activation,Events,Partnerships,Zip Codes,Neighborhoods,Precincts,Demo_Race,Demo_Age,Demo_Propensity,Neighborhood Team,,,
11,LINK Houston,BVET,LINK Houston will develop 3 Black leaders by co-developing a candidate questionnaire related to transportation equity and climate justice by the first week of August. The network will assist in distributing the finalized survey.,"LINK Houston will partner with HiA Black Voter Engagement organizing members and one to two outside groups to distribute 2,500 Metro bus passes to voters to assist them in reaching the polls by the start of early voting (October 24, 2022) and mid-term election (November 8, 2022). Through this voter engagement, we will also share maps and logistical information to access polling locations. NOTE: The full extent of the bus pass distribution will be determined by advisory from our VET members, resident requests, and outreach in Black neighborhoods. (Revise by mid-August)","LINK Houston and the VET will host six voter education events in Black communities throughout the summer and fall of 2022 to encourage active participation in the November midterm elections. Each event will target a participation of 10-15 community members of Black communities. Through these voter education events, we will encourage people to register to vote and urge them to get other members of their community involved.",,,3,"2,560",128,64,6,,,,,Black Voters,,,"Northeast Houston, Second Ward/North Shore/Pasadena, Northside/Independence Heights/Acres Homes","Northside, Independence Heights, Acre Homes",Northeast Houston,"East End, Northshore, Pasadena"
12,Mahogany Project,BVET,"The Mahogany Project will work with up to 10 local influencers to develop marketing materials and use these materials to reach 10,000 individuals at events (Love Show, in-person rallies) and digitally (social media and website) with the goal of encouraging them to vote before October 24, 2022.","The Mahogany Project will conduct a minimum of two text-banking events prior to October 24, 2022 to reach 10,000 voters (to be determined by the Digital Learning Program) to established and new clients/members with general election messaging and get respondents to commit to voting resulting in an estimated 500 conversations and commitments to vote. A third (at least) text banking event between October 24 and November 4, 2022 reaching back out to “committed” clients/members with specific voting messaging for either early voting or election day voting.","The Mahogany Project will conduct a minimum of 4 total events (2 community round tables and 2 training sessions centering voter engagement) with an anticipated reach of 25 Black voters per event (100 total reach) from LGBTQ+ communities by 2022 election day. Our goal is for 50% of attendees to complete a voter pledge card (customized with our “A Beyond the Allyship'' messaging). We will follow-up with “committed” via text message between October 24 to November 8, 2022 to remind them of their pledge and troubleshoot voting issues or concerns.",,,10,"20,100","1,005",503,6,,,,,Black Voters,,,Third Ward/South Union/Sunnyside,"Third Ward, South Union, Sunnyside",,
13,Migrant and Refugee Leadership Academy (MARLA),BVET,"MARLA will identify up to 8 key partners and community leaders to spread awareness and education about the importance of voting in the Ethiopian, Eritrean, Congolese, and Sudanese communities as well as others identified by the leaders by Oct 24, 2022.","MARLA will work with known formal and informal community hubs (houses of worship, storefronts, and community organizations such as Organizations for African Unity in Houston) in the Ethiopian, Eritrean, Congolese, and Sudanese communities and other Southwest area organizations to host at least 6 events to spread awareness and education about the importance of voting to about 25 Black Voters per event with the intention of asking attendees to complete a voter pledge card, by November 8, 2022.","MARLA will identify and train at least 15 volunteers to assist at community events, by September 11, 2022. These volunteers will educate community members on the voter registration process and begin the mobilization for the November 2022 election.",,,15,150,8,4,6,8,,Southwest,,"Ethiopian, Eritrean, Congolese, and Sudanese communities",,,Southwest Houston,"Southwest Houston, Fort Bend",,
14,Positive Women's Network,BVET,,,,,,,,,,,,,,,Black Voters,,,"Third Ward/South Union/Sunnyside, Northeast Houston, Northside/Independence Heights/Acres Homes/Independence Heights","Northside, Independence Heights, Acre Homes",Northeast Houston,"Third Ward, South Union, Sunnyside"
15,Pure Justice,BVET,"Pure Justice will build 4 community leaders by training formerly incarcerated eligible voters of color to become certified VDVRs in order to build a dedicated voter engagement team, by September 11, 2022.","Pure Justice will attempt to reach 500 of eligible voters currently housed in the Harris County Jail to conduct voter education and mobilize to vote by November 8, 2022 through site visits.","Pure Justice will attempt to reach 300 formerly incarcerated individuals in select communities via tabling at events, canvassing, and digital media. Pure Justice’s community leaders will follow-up with individuals with GOTV messaging via phone- and text-banking before November 8, 2022.",,,4,800,40,20,,,,,,Black Voters,,,"Third Ward/South Union/Sunnsyide, Northeast Houston","Third Ward, South Union, Sunnyside",Northeast Houston,
16,Texas Federation of the People Foundation ,BVET,"The Texas Federation of the People Foundation will develop between 15 and 20 community leaders in the voting process, election education, and VDVR certification by September 11, 2022. These leaders will be community members who have been systematically impacted by the judicial system and are off parole and probation with the intention of sharing information and education at voter mobilization block parties.","The Texas Federation of the People Foundation will continue leadership development by training between 15 and 20 ambassadors to become advocates by using their voices, such as conversations via phone, hosting townhalls, peer speaking, press conferences, and letter writing, by October 24, 2022. Ambassadors will be expected to reach 1,800 community members with the intention of completing voter pledge cards through.","The Texas Federation of the People Foundation will host 18 My Voice, My Rights, My Power movement block parties to educate Black voters and have meaningful conversations around issues affecting their communities. We anticipate 1,800 people to attend each block party and motivate individuals to complete a pledge card, by November 8, 2022.",,,15,"3,600",180,90,18,,,,,Black Voters,,,Third Ward/South Union/Sunnyside,"Third Ward, South Union, Sunnyside",,
17,The Links Inc.,BVET,"By November 8, 2022, the Houston Chapter of the Links Inc. will reach over 2,000 Black voters in Houston prioritizing 77004, 77021, 77033, and 77051 zip codes to encourage voter turnout and build community power through in-person events and digital organizing (social media).","By August 28, 2022, the Houston Area Chapter of the Links Inc. will create an educational video focusing on how to fill out mail-in ballots targeting seniors in specific zip codes with high error rates: 77033, 77051, 77021, 77004. The video will reach approximately 500 seniors and show them step by step how to fill out the form so their vote can count in the November election.","By October 1, 2022 the Houston Area Chapter of the Links Inc. will develop local community leaders by incorporating 2 non-affiliated individuals into the making of an educational video focused on GOTV and spreading accurate election information. This video will have an anticipated reach of 1,000 Black voters in the Houston-area.",,,,"3,500",175,88,,,"77004, 77021, 77033, 77051",,,Black Voters,,,Third Ward/South Union/Sunnyside,"Third Ward, South Union, Sunnyside",,
18,Peoples' Legal Clinic of Houston,BVET,"People’s Legal Clinic of Houston will host two ""Know Your Voting Rights"" clinics targeting young Black voters 18-30 and the former offender population in the Third Ward neighborhood with an estimated reach of 150 people across the two events. The events in Late Summer and October will focus on both education and galvanization of voters with the goal of having 30% attendees complete voter pledge cards.",People’s Legal Clinic of Houston will coordinate a caravan (August/September 2022) and a rally (October 2022) on voter education and voter galvanization with an estimated reach of 100 young (ages 18-30) Black voters at each event in-person and digitally. This event will focus on both education and galvanization of Black voters with the goal of having 30% attendees complete voter pledge cards.,"People’s Legal Clinic of Houston will host three text-banking happy hours (August, September, and October) for four hours targeting known and unknown contacts specifically targeting young Black voters in the zip codes 77004, 77021, 77033, and 77051. A final text-banking happy hour will occur between October 24 and November 8, 2022 directly reaching out to “committed” voters who have not yet voted. Estimated reach of 15,000 over 4 passes.",,,,"15,250",763,30,6,,"77004, 77021, 77033, 77051",3rd Ward,,Black Voters,18-30,,Third Ward/South Union/Sunnyside,"Third Ward, South Union, Sunnyside",,
19,Urban Community Network,BVET,"Urban Community Network will develop and train 5 community leaders by September 11, 2022 to help reach out to community members through phone-banking, text-banking, and door-to-door canvassing (using known and unknown contacts). Each leader is expected to reach out to at least 1,000 Black voters before October 24, 2022.","Urban Community Network will host 12 phone-banking, text-banking, and door-to-door canvassing events and will reach 6,400 of Black voters in 77026, 77028, and 77088 with the intention of voter education and asking community members to complete voter pledge cards before October 24, 2022.","Urban Community Network will host at least one phone-banking event between October 24, 2022 and November 8, 2022 to follow-up with individuals who committed to vote either from phone-, text-banking, and door-to-door canvassing.",Urban Community Network will establish 5 meaningful partnerships with 5 organizations led by a person of color to conduct voter engagement activities.,,5,"6,400",320,160,12,6,"77026, 77028, 77088",,,Black Voters,,,Aldine and Greenspoint,"Aldine, Greenspoint",,
20,WestStreet Recovery,BVET,"West Street Recovery will develop leaders by incorporating 15 community members into the creation of a bilingual script for phone-banking culturally competent to our populations of focus by July 22, 2022.","West Street Recovery will host daily phone-banking events (30 hours a week per volunteer) with an estimated reach of 70,000 in primarily the zip codes 77020, 77016, 77026, 77028, and 77078. Scripts will focus on voter education and committing to vote, or pledging to vote.","West Street Recovery will host a NAC Community Led Interview Panel in a target zip code (77020, 77016, 77026, 77028, and 77078) with an expected attendance of 200 Black voters. West Street Recovery will engage with attendees by asking them to complete voter pledge cards.",,,15,"70,200","3,510","1,755",1,,"77020, 77016, 77026, 77028, 77078",,,Black Voters,,,Northeast Houston,Northeast Houston,,
21,Air Alliance Houston,LVET,"By December 2022, inform impacted community members of 5 problematic air permit applications by industry polluters in Houston neighborhoods historically overburdened by air pollution and disenfranchised from environmental decision-making. 100% of impacted individuals will be notified of the problematic permit with instructions on how to contact their elected officials.","By December 2022, issue 5 bilingual Action Alerts reaching about 1,000 individuals with specific steps for how residents in Environmental Justice communities can engage directly in environmental decision-making and with elected officials. The action alerts will ask recipients to complete an action directed towards the November election.","By December 2022, Air Alliance will develop at least 50 community leaders from Environment Justice communities by providing training and technical assistance from BIPOC team members and partners to break down barriers to the environmental decision-making process.",,,50,"1,000",50,25,10,,,,,Latinx Voters,,,Any of our neighborhood teams except Southwest Houston,,,
22,Avenue,LVET,"Avenue will reach 10,000 Latinx voters in the Greater Northside via 4 weeks of Phone- and Text-banking (11 total outreach events) to a combination of known and unknown contacts before October 24, 2022. Avenue will also follow-up with those who have pledged to vote via 3 phone- and text-banking events between October 24 and November 8, 2022.","Avenue will reach 1,000 Latinx voters through social media outreach with our Social Media Voter Outreach Campaign. Our plan is to conduct at least 3 FB Live/Videos and 10 Paid Social Media Posts concerning and promoting the 2022 Elections with the intention of collecting information in order to be able to follow-up with those engagements.","Avenue will support 6 existing community events and reach an estimated 250 people total with the intention of completing voter pledge cards before November 8, 2022.",,,,"11,250",563,281,30,,,Greater Nothside,,Latinx Voters,,,Northside/Independence Heights/Acres Homes,"Northside, Independence Heights, Acre Homes",,
23,BakerRipley,LVET,"In the Pasadena voting precincts 347, 752, and 793, BakerRipley will reach approximately 1,000 Latinx and low-propensity voters (<40) three times in each precinct using a combination of block walking, phone-, and text-banking before October 24, 2022.","Host a minimum of 1 voter education event (can be candidate forum) by October 24, 2022 in oPasadena, with a focus on attendees being primarily LatinX and having low voting rates.The goal is, at least, 50 attendees,and the event will be co-hosted by our Community Engineers (i.e. community organizers) with the intention of having attendees complete a voter pledge card.","BakerRipley will follow-up with voters who committed to vote during the initial outreach between October 24 and November 8, 2022 with direct messaging and reminders to vote via phone- and text-banking.",,,,"1,050",53,26,1,,,,"347, 752, 793",Latinx Voters,,Low Propensity,Second Ward/North Shore/Pasadena,"East End, Northshore, Pasadena",,
24,Bonding Against Adversity,LVET,"Bonding Against Adversity will host 8 table-top events in zip codes 77033, 77039, 77037, and 77060 and reach 125 people per event (1,000 total reach) with the objective to raise awareness of the importance of voting and mobilize the vote in these zip codes before October 24, 2022.","Bonding Against Adversity will build their base by hosting 1 community event (Constitution Day Mega Event) reaching an estimated 4,000 Latinx residents about the event (500 people attending) in Aldine with the objective of raising awareness of the importance of voting and registering new voters.","Bonding Against Adversity will host 2 voter education events (Facebook Live), and a follow-up roundtable reaching an estimated reach of 100 Latinx residents per event (200 people total) with the objective to educate new US citizens and interested family members about the purpose and process of voting before October 24, 2022.",,,,"1,700",85,43,11,,"77033, 77039, 77037, 77060",Aldine,,Latinx Voters,,,Aldine and Greenspont,"Aldine, Greenspoint",,
25,CRECEN,LVET,"CRECEN will attempt to reach 500 potential Latinx voters using a 3-prong approach of phone-banking, text-messaging and digital outreach from a list of known CRECEN contacts from 2016 to date, located in the following Zip Codes: 77478, 77067, 77053, 77066, 77061, 77006, 77045, 77014, 77067, 77060, 77037, 77038, 77039, 77066, 77073, 77093 with the intention of voter education and completing of a voter pledge card. Two phone- and text-banking events will occur before October 24, 2022 and a third will occur between October 24, 2022 and November 8, 2022. The third session will focus solely on voters who pledged to vote and will include pledges from other tactics.","CRECEN will reach 500 Latinx voters and conduct electoral civic education through door-to-door canvassing in District 4 zip codes (77096, 77081, and 77401) prior to events hosted in those same zip codes","CRECEN will host at least 4 voter engagement events with an estimated attendance of 200 Latinx people per event from July to October 2022 in District 4 zip codes (77096, 77081, and 77401) inviting both known and unknown contacts.","CRECEN will reach 3,500 people under the TPS (Temporary Protection Status) program from their own database using digital outreach and phone-banking to educate individuals on electoral and voting participation, and educate and mobilize their citizen children of voting age. Two phone- and text-banking events will occur before October 24, 2022 and a third will occur between October 24, 2022 and November 8, 2022. The third session will focus solely on voters who pledged to vote.",,,"5,300",265,133,12,,"77478, 77067, 77053, 77066, 77061, 77006, 77045, 77014, 77067, 77060, 77037, 77038, 77039, 77066, 77073, 77093, 77096, 77081, 77401",,,Latinx Voters,,,Southwest Houston,"Southwest Houston, Fort Bend",,
26,East Harris County Empowerment Council,LVET,"East Harris County Empowerment Council will have 500 conversations with Latinx voters for integrated voter engagement through engagement events by giving out voter resource guides to include voter education and election engagement opportunities in the areas of Crosby, Sheldon, North Shore, Channelview, Galena Park, and Jacinto City between August and October 2022.",ECHEC will host High School events to engage approximately 50 Latinx voters of all ages at each event (200 voters total) to build voter awareness and engagement with the intention of asking voters to pledge to vote between August and October 2022.,"EHCEC will follow-up with all pledged voters from previous events and conversations with a final text message to remind voters about early voting, voting in-person, and inform about transportation assistance (at least 75 voters for transportation specifically) between October 24 and November 8, 2022.",,,,"10,200",500,250,8,,,"Crosby, Sheldon, North Shore, Channelview, Galena Park, and Jacinto City",,Latinx Voters,,,N/A - but could offer to put them in Second Ward/North Shore/Pasadena team,"East End, Northshore, Pasadena",,
27,Gulf Coast Leadership Council,LVET,"GCLC will engage with 50 community leaders who will complete a total of 250 volunteer hours in Northeast and Southeast Harris County and Spring Branch by November 8, 2022 and at least 50% of the volunteers will be Latinx. These staff and volunteers will knock on 16,200 doors in zip codes 77076, 77037, 77502, 77587, 77080 and 77040 in Harris County; and 77511 and 77578 in Brazoria County (25,3,77,74) and 77583 and 77545 (2134,2003,2109,63,68,21,53) in Fort Bend County and generate an estimated 3,000 conversations.","GCLC will re-engage with the 16,200 original contacts by conducting a minimum of 2 text-banking events and 2 phone-banking events prior to October 24, 2022 with general election messaging and get respondents to commit to voting. A third round of phone and text-banking will occur between October 24 and November 8, 2022 reaching back out to “committed” clients/members with specific voting messaging for either early voting or election day voting.","GCLC will work through existing and new relationships with congregations, schools and community organizations in Northeast and Southeast Harris County and Spring Branch; Alvin and Manvel in Brazoria County; and Fresno/Arcola in Fort Bend County to organize/participate in a total of 20 already scheduled in person events: tabling related to voting (civic academies related to teaching about key issues and organizing training to develop new leaders) with an anticipated reach of 400 people.","GCLC will train leaders of The Metropolitan Organization and other HIA collaborators to hold two, large non-partisan, “Candidate Accountability Sessions” in Latinx/Black communities with candidates in the general election. These two meetings with candidates will engage and educate at least 325 residents of Latinx communities and the candidates about issues identified by residents of those communities.",,50,"18,325","3,400","1,700",28,,"77076, 77037, 77502, 77587, 77080, 77040, 77511, 77578, 77583, 77545","Northeast, Southeast Harris County, Spring Branch",,Latinx Voters,,,"Northeast Houston, Third Ward/South Union/Sunnyside",Northeast Houston,"Third Ward, South Union, Sunnyside",
28,Jolt Initiative,LVET,Jolt will work with 35 Latinx students to become community leaders with additional training to host community focused events with civic engagement education.,"Jolt will complete a 4-touch strategy to reach 10,000 current contacts and Latinx voters before November 8, by sending an early voting mail piece, a text message, and a phone call between October 11 and 18, 2022 in order to prioritize Latinx voter engagement.","Jolt will door-to-door canvass reaching 10,000 people in zip codes 77011, 77012, and 77029 between October 21 and November 8 to reach out to voters traditionally not reached out to by campaigns with the goal of having Latinx voters complete voter pledge cards.",,,35,"10,000",500,250,,,"77011, 77012, 77029",,,Latinx Voters,,,Second Ward/North Shore/Pasadena,"East End, Northshore, Pasadena",,
29,Latino Learning Center,LVET,"CHWs Trust in Power will educate 3,000 BIPOC voters in greater Houston area to defend voting rights and encourage get out the vote among Black, Latinx, and AAPI communities by November 1, 2022 in target zip codes (77023, 77025, 77026, 77029, 77081, 77015, 77066, 77069, 77042, 77083, 77530, 77004, 77530, 77004, 77041, 77003, 77012, 77011, 77017, 77061, 7015, 77022, 77029, 77080, 77087, 77020, 77023, 77026, 77034, 77036, 77039, 77063, 77076, 77093, 77449, 77450, 77530.","CHWs Trust in Power will develop 50 strong leaders that belong to BIPOC groups by organizing a conference to mobilize community health workers/Promotores to engage in learning the elements of policy change communities by November 1, 2022.","By November 1, 2022, CHWs Trust in Power will create at least three opportunities, such as focus groups and community dialogues, to educate at least 8 community health workers from the BIPOC groups regarding right to make policy change and help policy makers to include changes that may impact and benefit equity.",,,58,"3,000",150,75,3,,"77023, 77025, 77026, 77029, 77081, 77015, 77066, 77069, 77042, 77083, 77530, 77004, 77530, 77004, 77041, 77003, 77012, 77011, 77017, 77061",,,Latinx Voters,,,"Second Ward/North Shore/Pasadena, Northeast Houston, Southwest Houston","East End, Northshore, Pasadena",Northeast Houston,"Southwest Houston, Fort Bend"
30,LINK Houston,LVET,LINK Houston will develop 3 Latinx leaders by co-developing a candidate questionnaire related to transportation equity and climate justice by the first week of August. The network will assist in distributing the finalized survey.,"LINK Houston will partner with HiA Latinx Voter Engagement organizing members and one to two outside groups to distribute 2,500 Metro bus passes to voters to assist them in reaching the polls by the start of early  voting (October 24, 2022) and mid-term election (November 8, 2022). Through this voter engagement, we will also share maps and logistical information in  Spanish and English to access polling locations. NOTE: The full extent of the bus pass distribution will be determined by  advisory from our VET members, resident requests, and outreach in Latinx neighborhoods. (Revise by mid-August)","LINK Houston and the VET will host six voter education events in  Latinx communities throughout the summer and fall of 2022 to encourage active participation in the November midterm elections. Each event will target a participation of 10-15 community members of Latinx communities. Through these voter education events, we will encourage people to register to vote and urge them to get other members of their community involved.",,,3,"2,560",128,64,6,,,,,Latinx Voters,,,"Northeast Houston, Second Ward/North Shore/Pasadena, Northside/Independence Heights/Acres Homes",Northeast Houston,"Third Ward, South Union, Sunnyside","Northside, Independence Heights, Acre Homes"
31,MECA,LVET,"MECA will provide seven FREE performance-based events in 7 zip codes (77003, 77007, 77017, 77047, 77061, 77547, and 77024) with an anticipated reach of 100 people per performance, concentrating of underrepresented populations between July and October 24, 2022 with the intention of voter education and asking eligible voters to complete voting pledge cards.","MECA will participate in or host 6 tabling events, 1 in each of the 7 zip codes (77003, 77007, 77017, 77047, 77061, 77547, and 77024) with a concentration of underrepresented populations between July and October 24, 2022 with the intention of voter education and asking eligible voters to complete voting pledge cards.","MECA reinforces its commitment to collaboration and expanding the reach of the arts by partnering with 2 new strategic partners inside or outside of the arts community. These partners will participate in the performances and events listed in goal #1 and #2. For example, MECA will emphasize its commitment to the ""Multicultural"" part of the organization's name by including at least one non-Latino organization.",,,,700,35,18,13,2,"77003, 77007, 77017, 77047, 77061, 77547, 77024",,,Latinx Voters,,,Second Ward/North Shore/Pasadena,"East End, Northshore, Pasadena",,
